id;id_pays;pays;annee;valeur;type_valeur;confiance_min;confiance_max;confiance_median;qualite_donnees;fichier_source
2145;105;Montenegro;2000;100.0;count;100.0;100.0;100.0;good;no_of_deaths_by_country_clean.csv
1975;105;Montenegro;2010;100.0;count;100.0;100.0;100.0;good;no_of_deaths_by_country_clean.csv
1805;105;Montenegro;2018;100.0;count;100.0;100.0;100.0;good;no_of_deaths_by_country_clean.csv
2146;106;Morocco;2000;500.0;count;500.0;680.0;500.0;good;no_of_deaths_by_country_clean.csv
1976;106;Morocco;2010;550.0;count;500.0;840.0;550.0;good;no_of_deaths_by_country_clean.csv
1806;106;Morocco;2018;500.0;count;500.0;600.0;500.0;good;no_of_deaths_by_country_clean.csv
2147;107;Mozambique;2000;40000.0;count;29000.0;54000.0;40000.0;good;no_of_deaths_by_country_clean.csv
1977;107;Mozambique;2010;64000.0;count;46000.0;87000.0;64000.0;good;no_of_deaths_by_country_clean.csv
1807;107;Mozambique;2018;54000.0;count;39000.0;73000.0;54000.0;good;no_of_deaths_by_country_clean.csv
2148;108;Myanmar;2000;5800.0;count;4600.0;6800.0;5800.0;good;no_of_deaths_by_country_clean.csv
1978;108;Myanmar;2010;11000.0;count;9600.0;13000.0;11000.0;good;no_of_deaths_by_country_clean.csv
1808;108;Myanmar;2018;7800.0;count;5900.0;11000.0;7800.0;good;no_of_deaths_by_country_clean.csv
2149;109;Namibia;2000;7300.0;count;5700.0;9100.0;7300.0;good;no_of_deaths_by_country_clean.csv
1979;109;Namibia;2010;3500.0;count;3000.0;3900.0;3500.0;good;no_of_deaths_by_country_clean.csv
1809;109;Namibia;2018;2700.0;count;2300.0;3200.0;2700.0;good;no_of_deaths_by_country_clean.csv
2150;110;Nepal;2000;500.0;count;500.0;500.0;500.0;good;no_of_deaths_by_country_clean.csv
1980;110;Nepal;2010;1400.0;count;1200.0;1700.0;1400.0;good;no_of_deaths_by_country_clean.csv
1810;110;Nepal;2018;910.0;count;700.0;1200.0;910.0;good;no_of_deaths_by_country_clean.csv
2151;111;Netherlands;2000;200.0;count;200.0;200.0;200.0;good;no_of_deaths_by_country_clean.csv
1981;111;Netherlands;2010;200.0;count;200.0;500.0;200.0;good;no_of_deaths_by_country_clean.csv
1811;111;Netherlands;2018;;count;;;;good;no_of_deaths_by_country_clean.csv
2152;112;New Zealand;2000;100.0;count;100.0;100.0;100.0;good;no_of_deaths_by_country_clean.csv
1982;112;New Zealand;2010;100.0;count;100.0;100.0;100.0;good;no_of_deaths_by_country_clean.csv
1812;112;New Zealand;2018;100.0;count;100.0;100.0;100.0;good;no_of_deaths_by_country_clean.csv
2153;113;Nicaragua;2000;100.0;count;100.0;500.0;100.0;good;no_of_deaths_by_country_clean.csv
1983;113;Nicaragua;2010;500.0;count;200.0;500.0;500.0;good;no_of_deaths_by_country_clean.csv
1813;113;Nicaragua;2018;200.0;count;200.0;500.0;200.0;good;no_of_deaths_by_country_clean.csv
2154;114;Niger;2000;2300.0;count;1700.0;3000.0;2300.0;good;no_of_deaths_by_country_clean.csv
1984;114;Niger;2010;1700.0;count;1300.0;2100.0;1700.0;good;no_of_deaths_by_country_clean.csv
1814;114;Niger;2018;1200.0;count;970.0;1700.0;1200.0;good;no_of_deaths_by_country_clean.csv
2155;115;Nigeria;2000;78000.0;count;45000.0;130000.0;78000.0;good;no_of_deaths_by_country_clean.csv
1985;115;Nigeria;2010;72000.0;count;42000.0;120000.0;72000.0;good;no_of_deaths_by_country_clean.csv
1815;115;Nigeria;2018;53000.0;count;31000.0;89000.0;53000.0;good;no_of_deaths_by_country_clean.csv
2084;44;North Korea;2000;;count;;;;good;no_of_deaths_by_country_clean.csv
1914;44;North Korea;2010;;count;;;;good;no_of_deaths_by_country_clean.csv
1744;44;North Korea;2018;;count;;;;good;no_of_deaths_by_country_clean.csv
2169;129;North Macedonia;2000;100.0;count;100.0;100.0;100.0;good;no_of_deaths_by_country_clean.csv
1999;129;North Macedonia;2010;100.0;count;100.0;100.0;100.0;good;no_of_deaths_by_country_clean.csv
1829;129;North Macedonia;2018;100.0;count;100.0;100.0;100.0;good;no_of_deaths_by_country_clean.csv
2156;116;Norway;2000;100.0;count;100.0;100.0;100.0;good;no_of_deaths_by_country_clean.csv
1986;116;Norway;2010;100.0;count;100.0;100.0;100.0;good;no_of_deaths_by_country_clean.csv
1816;116;Norway;2018;100.0;count;100.0;100.0;100.0;good;no_of_deaths_by_country_clean.csv
2157;117;Oman;2000;100.0;count;100.0;100.0;100.0;good;no_of_deaths_by_country_clean.csv
1987;117;Oman;2010;100.0;count;100.0;100.0;100.0;good;no_of_deaths_by_country_clean.csv
1817;117;Oman;2018;100.0;count;100.0;100.0;100.0;good;no_of_deaths_by_country_clean.csv
2158;118;Pakistan;2000;100.0;count;100.0;100.0;100.0;good;no_of_deaths_by_country_clean.csv
1988;118;Pakistan;2010;1400.0;count;870.0;1900.0;1400.0;good;no_of_deaths_by_country_clean.csv
1818;118;Pakistan;2018;6400.0;count;5200.0;7600.0;6400.0;good;no_of_deaths_by_country_clean.csv
2159;119;Panama;2000;500.0;count;500.0;500.0;500.0;good;no_of_deaths_by_country_clean.csv
1989;119;Panama;2010;500.0;count;500.0;570.0;500.0;good;no_of_deaths_by_country_clean.csv
1819;119;Panama;2018;500.0;count;500.0;530.0;500.0;good;no_of_deaths_by_country_clean.csv
