id;id_pays;pays;region;id_type_statistique;type_statistique;annee;valeur;type_valeur;valeur_texte;confiance_min;confiance_max;confiance_median;qualite_donnees;fichier_source;date_creation
1875;5;Argentina;Americas;4;HIV-related Deaths;2010;1600.0;count;;1300.0;2000.0;1600.0;good;no_of_deaths_by_country_clean.csv;2025-06-30 12:28:07
1705;5;Argentina;Americas;4;HIV-related Deaths;2018;1700.0;count;;1300.0;2100.0;1700.0;good;no_of_deaths_by_country_clean.csv;2025-06-30 12:28:07
1535;5;Argentina;Americas;3;People Living with HIV;2000;64000.0;count;;55000.0;71000.0;64000.0;good;no_of_people_living_with_hiv_by_country_clean.csv;2025-06-30 12:28:07
1365;5;Argentina;Americas;3;People Living with HIV;2005;85000.0;count;;76000.0;94000.0;85000.0;good;no_of_people_living_with_hiv_by_country_clean.csv;2025-06-30 12:28:07
1195;5;Argentina;Americas;3;People Living with HIV;2010;110000.0;count;;96000.0;120000.0;110000.0;good;no_of_people_living_with_hiv_by_country_clean.csv;2025-06-30 12:28:07
1025;5;Argentina;Americas;3;People Living with HIV;2018;140000.0;count;;130000.0;150000.0;140000.0;good;no_of_people_living_with_hiv_by_country_clean.csv;2025-06-30 12:28:07
14;5;Argentina;Americas;1;Prevention of Mother-to-Child Transmission;2023;1800.0;needing_antiretrovirals;;1600.0;2000.0;1800.0;good;prevention_of_mother_to_child_transmission_by_country_clean.csv;2025-06-30 12:28:07
15;5;Argentina;Americas;1;Prevention of Mother-to-Child Transmission;2023;95.0;percentage_received;;85.0;95.0;95.0;good;prevention_of_mother_to_child_transmission_by_country_clean.csv;2025-06-30 12:28:07
13;5;Argentina;Americas;1;Prevention of Mother-to-Child Transmission;2023;1800.0;received_antiretrovirals;;;;;good;prevention_of_mother_to_child_transmission_by_country_clean.csv;2025-06-30 12:28:07
528;6;Armenia;Europe;2;ART Coverage;2023;53.0;estimated_art_coverage_percent;;44.0;65.0;53.0;good;art_coverage_by_country_clean.csv;2025-06-30 12:28:07
527;6;Armenia;Europe;2;ART Coverage;2023;3500.0;estimated_living_with_hiv;;3000.0;4400.0;3500.0;good;art_coverage_by_country_clean.csv;2025-06-30 12:28:07
526;6;Armenia;Europe;2;ART Coverage;2023;1900.0;reported_receiving_art;;;;;good;art_coverage_by_country_clean.csv;2025-06-30 12:28:07
2908;6;Armenia;Europe;6;ART Pediatric Coverage;2023;;estimated_children_art_coverage_percent;Nodata                                    ;;;;good;art_pediatric_coverage_by_country_clean.csv;2025-06-30 12:28:07
2907;6;Armenia;Europe;6;ART Pediatric Coverage;2023;;estimated_children_needing_art;Nodata                                                        ;;;;good;art_pediatric_coverage_by_country_clean.csv;2025-06-30 12:28:07
2906;6;Armenia;Europe;6;ART Pediatric Coverage;2023;;reported_children_receiving_art;No data                                   ;;;;good;art_pediatric_coverage_by_country_clean.csv;2025-06-30 12:28:07
2726;6;Armenia;Europe;5;HIV Cases Adults 15-49;2000;0.1;count;;0.1;0.1;0.1;good;no_of_cases_adults_15_to_49_by_country_clean.csv;2025-06-30 12:28:07
2556;6;Armenia;Europe;5;HIV Cases Adults 15-49;2005;0.1;count;;0.1;0.2;0.1;good;no_of_cases_adults_15_to_49_by_country_clean.csv;2025-06-30 12:28:07
2386;6;Armenia;Europe;5;HIV Cases Adults 15-49;2010;0.2;count;;0.1;0.2;0.2;good;no_of_cases_adults_15_to_49_by_country_clean.csv;2025-06-30 12:28:07
2216;6;Armenia;Europe;5;HIV Cases Adults 15-49;2018;0.2;count;;0.1;0.2;0.2;good;no_of_cases_adults_15_to_49_by_country_clean.csv;2025-06-30 12:28:07
2046;6;Armenia;Europe;4;HIV-related Deaths;2000;100.0;count;;100.0;100.0;100.0;good;no_of_deaths_by_country_clean.csv;2025-06-30 12:28:07
1876;6;Armenia;Europe;4;HIV-related Deaths;2010;200.0;count;;200.0;200.0;200.0;good;no_of_deaths_by_country_clean.csv;2025-06-30 12:28:07
1706;6;Armenia;Europe;4;HIV-related Deaths;2018;200.0;count;;100.0;200.0;200.0;good;no_of_deaths_by_country_clean.csv;2025-06-30 12:28:07
1536;6;Armenia;Europe;3;People Living with HIV;2000;950.0;count;;580.0;1600.0;950.0;good;no_of_people_living_with_hiv_by_country_clean.csv;2025-06-30 12:28:07
1366;6;Armenia;Europe;3;People Living with HIV;2005;2700.0;count;;2000.0;3500.0;2700.0;good;no_of_people_living_with_hiv_by_country_clean.csv;2025-06-30 12:28:07
1196;6;Armenia;Europe;3;People Living with HIV;2010;3300.0;count;;2800.0;4100.0;3300.0;good;no_of_people_living_with_hiv_by_country_clean.csv;2025-06-30 12:28:07
1026;6;Armenia;Europe;3;People Living with HIV;2018;3500.0;count;;3000.0;4400.0;3500.0;good;no_of_people_living_with_hiv_by_country_clean.csv;2025-06-30 12:28:07
17;6;Armenia;Europe;1;Prevention of Mother-to-Child Transmission;2023;;needing_antiretrovirals;Nodata                  ;;;;good;prevention_of_mother_to_child_transmission_by_country_clean.csv;2025-06-30 12:28:07
18;6;Armenia;Europe;1;Prevention of Mother-to-Child Transmission;2023;;percentage_received;Nodata              ;;;;good;prevention_of_mother_to_child_transmission_by_country_clean.csv;2025-06-30 12:28:07
16;6;Armenia;Europe;1;Prevention of Mother-to-Child Transmission;2023;50.0;received_antiretrovirals;;;;;good;prevention_of_mother_to_child_transmission_by_country_clean.csv;2025-06-30 12:28:07
531;7;Australia;Western Pacific;2;ART Coverage;2023;83.0;estimated_art_coverage_percent;;70.0;93.0;83.0;good;art_coverage_by_country_clean.csv;2025-06-30 12:28:07
530;7;Australia;Western Pacific;2;ART Coverage;2023;28000.0;estimated_living_with_hiv;;23000.0;31000.0;28000.0;good;art_coverage_by_country_clean.csv;2025-06-30 12:28:07
529;7;Australia;Western Pacific;2;ART Coverage;2023;22800.0;reported_receiving_art;;;;;good;art_coverage_by_country_clean.csv;2025-06-30 12:28:07
2911;7;Australia;Western Pacific;6;ART Pediatric Coverage;2023;;estimated_children_art_coverage_percent;Nodata                                    ;;;;good;art_pediatric_coverage_by_country_clean.csv;2025-06-30 12:28:07
2910;7;Australia;Western Pacific;6;ART Pediatric Coverage;2023;100.0;estimated_children_needing_art;;100.0;100.0;100.0;good;art_pediatric_coverage_by_country_clean.csv;2025-06-30 12:28:07
2909;7;Australia;Western Pacific;6;ART Pediatric Coverage;2023;;reported_children_receiving_art;No data                                   ;;;;good;art_pediatric_coverage_by_country_clean.csv;2025-06-30 12:28:07
2727;7;Australia;Western Pacific;5;HIV Cases Adults 15-49;2000;0.1;count;;0.1;0.1;0.1;good;no_of_cases_adults_15_to_49_by_country_clean.csv;2025-06-30 12:28:07
2557;7;Australia;Western Pacific;5;HIV Cases Adults 15-49;2005;0.1;count;;0.1;0.1;0.1;good;no_of_cases_adults_15_to_49_by_country_clean.csv;2025-06-30 12:28:07
2387;7;Australia;Western Pacific;5;HIV Cases Adults 15-49;2010;0.1;count;;0.1;0.1;0.1;good;no_of_cases_adults_15_to_49_by_country_clean.csv;2025-06-30 12:28:07
2217;7;Australia;Western Pacific;5;HIV Cases Adults 15-49;2018;0.1;count;;0.1;0.1;0.1;good;no_of_cases_adults_15_to_49_by_country_clean.csv;2025-06-30 12:28:07
2047;7;Australia;Western Pacific;4;HIV-related Deaths;2000;500.0;count;;200.0;500.0;500.0;good;no_of_deaths_by_country_clean.csv;2025-06-30 12:28:07
1877;7;Australia;Western Pacific;4;HIV-related Deaths;2010;500.0;count;;200.0;500.0;500.0;good;no_of_deaths_by_country_clean.csv;2025-06-30 12:28:07
1707;7;Australia;Western Pacific;4;HIV-related Deaths;2018;200.0;count;;200.0;500.0;200.0;good;no_of_deaths_by_country_clean.csv;2025-06-30 12:28:07
1537;7;Australia;Western Pacific;3;People Living with HIV;2000;13000.0;count;;11000.0;15000.0;13000.0;good;no_of_people_living_with_hiv_by_country_clean.csv;2025-06-30 12:28:07
1367;7;Australia;Western Pacific;3;People Living with HIV;2005;16000.0;count;;14000.0;19000.0;16000.0;good;no_of_people_living_with_hiv_by_country_clean.csv;2025-06-30 12:28:07
1197;7;Australia;Western Pacific;3;People Living with HIV;2010;21000.0;count;;17000.0;23000.0;21000.0;good;no_of_people_living_with_hiv_by_country_clean.csv;2025-06-30 12:28:07
1027;7;Australia;Western Pacific;3;People Living with HIV;2018;28000.0;count;;23000.0;31000.0;28000.0;good;no_of_people_living_with_hiv_by_country_clean.csv;2025-06-30 12:28:07
20;7;Australia;Western Pacific;1;Prevention of Mother-to-Child Transmission;2023;100.0;needing_antiretrovirals;;100.0;100.0;100.0;good;prevention_of_mother_to_child_transmission_by_country_clean.csv;2025-06-30 12:28:07
21;7;Australia;Western Pacific;1;Prevention of Mother-to-Child Transmission;2023;;percentage_received;Nodata              ;;;;good;prevention_of_mother_to_child_transmission_by_country_clean.csv;2025-06-30 12:28:07
19;7;Australia;Western Pacific;1;Prevention of Mother-to-Child Transmission;2023;;received_antiretrovirals;No data                  ;;;;good;prevention_of_mother_to_child_transmission_by_country_clean.csv;2025-06-30 12:28:07
534;8;Austria;Europe;2;ART Coverage;2023;;estimated_art_coverage_percent;Nodata                                                  ;;;;good;art_coverage_by_country_clean.csv;2025-06-30 12:28:07
533;8;Austria;Europe;2;ART Coverage;2023;;estimated_living_with_hiv;Nodata                                     ;;;;good;art_coverage_by_country_clean.csv;2025-06-30 12:28:07
532;8;Austria;Europe;2;ART Coverage;2023;;reported_receiving_art;Nodata                                  ;;;;good;art_coverage_by_country_clean.csv;2025-06-30 12:28:07
2914;8;Austria;Europe;6;ART Pediatric Coverage;2023;;estimated_children_art_coverage_percent;Nodata                                    ;;;;good;art_pediatric_coverage_by_country_clean.csv;2025-06-30 12:28:07
2913;8;Austria;Europe;6;ART Pediatric Coverage;2023;;estimated_children_needing_art;Nodata                                                        ;;;;good;art_pediatric_coverage_by_country_clean.csv;2025-06-30 12:28:07
2912;8;Austria;Europe;6;ART Pediatric Coverage;2023;;reported_children_receiving_art;No data                                   ;;;;good;art_pediatric_coverage_by_country_clean.csv;2025-06-30 12:28:07
2728;8;Austria;Europe;5;HIV Cases Adults 15-49;2000;;count;na              ;;;;good;no_of_cases_adults_15_to_49_by_country_clean.csv;2025-06-30 12:28:07
2558;8;Austria;Europe;5;HIV Cases Adults 15-49;2005;;count;na              ;;;;good;no_of_cases_adults_15_to_49_by_country_clean.csv;2025-06-30 12:28:07
2388;8;Austria;Europe;5;HIV Cases Adults 15-49;2010;;count;na              ;;;;good;no_of_cases_adults_15_to_49_by_country_clean.csv;2025-06-30 12:28:07
2218;8;Austria;Europe;5;HIV Cases Adults 15-49;2018;;count;na              ;;;;good;no_of_cases_adults_15_to_49_by_country_clean.csv;2025-06-30 12:28:07
