id_pays ,population_hiv_median ,population_hiv_min ,population_hiv_max ,couverture_median ,couverture_min ,couverture_max ,id_type_traitement
     91 ,                 3700 ,              3000 ,              4400 ,               18 ,            14 ,            21 ,                 2
     92 ,                  500 ,               500 ,               500 ,               33 ,            30 ,            35 ,                 2
     95 ,                 1900 ,              1600 ,              2500 ,                5 ,             4 ,             6 ,                 2
     96 ,                74000 ,             57000 ,             89000 ,               61 ,            47 ,            73 ,                 2
     97 ,                  500 ,               500 ,               520 ,               94 ,            77 ,            95 ,                 2
     99 ,                19000 ,             15000 ,             24000 ,               18 ,            14 ,            23 ,                 2
    101 ,                  500 ,               500 ,               500 ,               54 ,            46 ,            66 ,                 2
    102 ,                  100 ,               100 ,               200 ,               45 ,            40 ,            50 ,                 2
    106 ,                  560 ,               500 ,               770 ,               95 ,            88 ,            95 ,                 2
    107 ,               140000 ,            110000 ,            190000 ,               60 ,            45 ,            81 ,                 2
    108 ,                 9800 ,              8400 ,             11000 ,               80 ,            69 ,            93 ,                 2
    109 ,                11000 ,              8700 ,             13000 ,               78 ,            61 ,            89 ,                 2
    110 ,                 1400 ,              1200 ,              1600 ,               91 ,            80 ,            95 ,                 2
    113 ,                  500 ,               200 ,               500 ,               55 ,            41 ,            76 ,                 2
    114 ,                 2500 ,              2100 ,              3200 ,               52 ,            42 ,            66 ,                 2
    115 ,               140000 ,             91000 ,            220000 ,               35 ,            22 ,            53 ,                 2
    118 ,                 5500 ,              4700 ,              6300 ,               11 ,            10 ,            13 ,                 2
    119 ,                  500 ,               500 ,               500 ,               76 ,            69 ,            84 ,                 2
    120 ,                 2900 ,              2300 ,              3500 ,               49 ,            39 ,            58 ,                 2
    121 ,                  500 ,               500 ,               640 ,               43 ,            28 ,            68 ,                 2
    122 ,                 1600 ,              1100 ,              2300 ,               48 ,            34 ,            70 ,                 2
    123 ,                  500 ,               500 ,               510 ,               20 ,            16 ,            25 ,                 2
    128 ,                  500 ,               500 ,               500 ,               40 ,            30 ,            55 ,                 2
    130 ,                  100 ,               100 ,               100 ,               95 ,            95 ,            95 ,                 2
    132 ,                12000 ,              8900 ,             15000 ,               63 ,            47 ,            80 ,                 2
    134 ,                 4500 ,              3700 ,              5100 ,               31 ,            26 ,            35 ,                 2
    136 ,                 6600 ,              5100 ,              8500 ,               17 ,            13 ,            22 ,                 2
    140 ,                 1300 ,              1100 ,              1800 ,               14 ,            12 ,            19 ,                 2
    141 ,               260000 ,            200000 ,            360000 ,               63 ,            49 ,            87 ,                 2
